,Cost,Date-range,Time,Title,Venue,event_text
11,Free,3 to 24 February 2018,Opening Sat 3rd 11am | Artist’s Walkabout Sat 17th 11am to 12.30pm,Pamela Silver: The Colour of Light,"UCT Irma Stern Museum,","Pamela Silver, an award-winning South-African born painter with a large number of international exhibitions under her belt, presents an exhibition called ‘The Colour of Light’ at UCT’s Irma Stern Museum.
Silver’s career has spanned over thirty years and during this time she contributed to public collections in Tel Aviv, Tokyo and London among many other major cities. Among her multiple accolades is a Gold Medal in the Olympic Fine Art Exhibition in Beijing, China. Her work has been featured in over 40 global group exhibitions and 25 solo shows.
Pamela Silver’s exhibition is opened by Professor Deborah Posel and an artist’s walkabout is scheduled for a later date.
Website: www.pamelasilver.com
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
12,R150 | Concessions R100 (bookings via phone or email),14 to 14 February 2018,8pm to 9pm,In The Dark: Schoenberg,"Youngblood Africa, 70-74 Bree St, CBD, Cape Town","Youngblood hosts its first In The Dark of 2018, featuring the music of mastermind polymath Arnold Schoenberg. David Lubbe, Davide Bester and Vasti Knoesen perform Schoenberg’s works in complete darkness.
Tel: 021 424 0074
Email: info@youngblood-africa.com
Website: youngblood-africa.com
Facebook: Youngblood Arts and Culture Development
Twitter: youngbloodct
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
13,R100 | Scholars R50,17 to 25 February 2018,5pm to 8pm,SAFCEI Fundraiser – Poetry Readings,"Waterfall Cottage, 1-7 Upper Quarterdeck Rd, Saint James, Cape Town","South African Faith Communities’ Environment Institute (SAFCEI) presents four fundraising performances. David Muller uses the setting of the slopes of Kalk Bay to bring to life two of Heathcote Williams’ poems: Whale Nation and Sacred Elephant.
Muller’s dramatisations of these two epic poems have been described as “haunting” and “entrancing” by critics. The two poems were written by Williams as part of a series that he had hoped to use to bring the plight of the earth to the fore. Both deal with the devastation of the natural environment and the impact humans are having on creatures we are meant to care for.
Guests are invited to enjoy an evening or two in the natural beauty of Kalk Bay, as they are taken on a journey into the ocean with majestic whales or onto the plains with the mighty elephants. Whale Nation is directed by Claire Watling and Sacred Elephant by Stacey Sacks. Guests are encouraged to bring along a picnic and blankets to sit on. A portion of the proceeds go towards the various environmental projects that SAFCEI run in South Africa.
Whale Nation:

Sacred Elephant:

Tel: 021 701 8145 | 079 092 3409
Website: safcei.org
Facebook: SAFCEI
Twitter: SAFCEI
 
 SEE WHAT ELSE IS ON IN THE CAPE PENINSULA

 "
14,R100,,Fridays 4pm,Pink Summer Soirées,"Radisson Blu Hotel, 22 Riebeek St, Cape Town","The Ghibli Bar at Radisson Blu Hotel presents a weekly gin-themed summer soirée. Gin & tonics are served on the pool terrace as the sun sets over the inner city.
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
15,R500 including food & drinks,24 to 24 February 2018,4.30pm to 9pm,Valley Flair Art Auction,"37 Klein Constantia Rd, Nova Constantia, Cape Town","The Make a Difference Leadership Foundation presents the annual fundraiser, Valley Flair Art Auction, which includes food and drinks by Bertus Basson, live music by Arno Carstens and an art auction.
The event is in partnership with Klein Constantia, Auto Atlantic BMW, Lizamore & Associates & Rialheim and unique art pieces are on offer from artists such as Mbongeni Buthelezi, Sizwe Khoza, Vincent Osemwegie, Janko de Beer, Marke Meyer, Klaus Tiedge and many more.
 "
16, Cost: R250 – R3 800 (bookings via email),19 to 25 February 2018, Time: Various (full schedule available via website),Urban Immersion with Laruga Glaser,"Mysore Yoga, 29 Sir Lowry Rd, Woodstock, Cape Town","Laruga Glaser presents Urban Immersion, a series of yoga workshops and Ashtanga classes at Mysore Yoga.
Glaser is an advanced level practitioner, student of yoga as well as a level 2 authorised teacher. She entered into teaching after years of sustained practice and brings with her a combined total of over 26 years experience instructing body movement. In turn, she is dedicated to teaching the method of Ashtanga yoga to its fullest capacity, cultivating transparency to the tradition. Glaser teaches as an act of deep sharing and love for what yoga develops in each individual; facilitating space to open, challenge, and inspire those to step into the centre of their own being, and experience their inherent potential.
The workshop schedule is available via Mysore Yoga’s official website.
Tel: 082 691 2698
Email: info@mysoreyogacapetown.co.za
Website: mysoreyogacapetown.co.za
Facebook: mysoreyogacpt
Twitter: MysoreYogaCPT
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
17,Cost: R144 – R180,13 February 2018 to 3 March 2018,7.30pm,The Inconvenience of Wings,"Venue: Golden Arrow Studio, Baxter Theatre Centre, Main Rd, Rondebosch, Cape Town","The Baxter presents acclaimed writer and director, Lara Foot’s The Inconvenience of Wings, a play that brings bi-polar disorder and friendships into the spotlight.
Inspired by author Abraham J Twerski’s book Addictive Thinking, this production is set in a landscape of memory and dreams, and tackles the issues of friendship, dysfunction, addiction and angels. Sara has been diagnosed with bi-polar disorder; she is compulsive, alive and hates women who know how to make cupcakes. Andrew, her husband, is on a mission to find a cure for her afflictions and Professor James quietly tries to save Andrew from the inconvenience of his wings.
“The Inconvenience of Wings is a precious, honest, witty, well-informed, raw, pure piece of South African theatre.” Read Thola Antamu’s review of The Inconvenience of Wings.

 
 
Tel: 021 685 7880
Email: leon.vanzyl@uct.ac.za
Website: www.baxter.co.za
Facebook: baxtertheatre
Twitter: baxtertheatre
 "
18,R80 to R95,31 January 2018 to 8 February 2018,8pm,When Swallows Cry,"Baxter Theatre Centre, Main Rd, Rondebosch, Cape Town","Mike van Graan’s When Swallows Cry is a hard-hitting trilogy of playlets that explores the inequities and layered complexities of contemporary global mobility, particularly from African perspectives. Once forced to “migrate” as slaves, Africans are now among the world’s least attractive migrants in the wealthy economies of the world, many built – not insubstantially – on African labour and mineral resources.
The play interweaves three scenarios, set in African or about African migrants and refugees.  Directed by Lesedi Job, the talented cast includes Mbulelo Grootboom, Marty Kintu and Kai Luke Brummer. Norwegian Theatre Company Ibsen International commissioned seven playwrights to create works which tackle the contentious issues of migration and the refugee crisis, and When Swallows Cry is one of the resultant pieces, developed by van Graan alongside playwrights from Europe, China, America and Russia.
 "
19,Free,25 January 2018 to 10 February 2018,Time: Tue to Fri 10am to 5pm | Sat 10am to 2pm,StateoftheART: The Marks we Make,"Venue: 50 Buitenkant St, CBD, Cape Town","
StateoftheART gallery presents a group exhibition of mixed media works by local artists entitled The Marks we Make. Artists include Liffey Joy, Karla Nixon, Jeannie Kinsler, Jodi Hugo, Shui-Lyn White and more.

Mark making is a term used to describe the different lines, patterns, and textures used to create a piece of art. It applies to any art material on any surface, not only paint on canvas or pencil on paper. A dot made with a pencil, a line created with a pen, a swirl painted with a brush – or paper cutting. These are all types of mark making.

‘The Marks We Make’ brings together StateoftheART artists in an exhibition which explores memory, feelings, folds, layers, stories, and colour.

Read about StateoftheART Contemporary.
Email: info@stateoftheart-gallery.com
Website: www.stateoftheart-gallery.com
Facebook:  galleryStateoftheART
Twitter: JenniferatSOTA
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
20,Cost: R150 to R180,24 to 24 February 2018,Time: 8pm to 10pm,Daniel Rőhn & Francois du Toit: CT Concert Series,"Baxter Theatre, 1 Main Rd, Rondebosch, Cape Town","
Daniel Rőhn & Francois du Toit join forces to present a violin and piano concert as part of the Cape Town Concert Series.
A New York Concert Review described Daniel Röhn’s performance as follows:  ‘Mr. Röhn combined technical wizardry, melting musicality, old-world style and panache, and a fair amount of historic edification in his comments, all woven seamlessly together into an utterly perfect evening… Daniel Röhn’s easy and elegant mastery, always with beauty of sound, purity of intonation, and elasticity of phrase was captivating.’
Email: info@ctconcerts.co.za
Website: www.ctconcerts.co.za
 "
21,R150 – R270 | U10s free,17 to 17 February 2018,8am to 12pm,The Colour Run Stellenbosch,"Venue: Hoërskool Stellenbosch, 18 Jannasch Rd, Mostertsdrift, Stellenbosch","The Colour Run South Africa presents its final event of The Superhero Tour, giving Colour Runners one last chance to don their capes, masks and wands, and run (or fly, or hula-hoop) “The Happiest 5k on the planet” as their favourite superhero.
This event features the world-famous Finish Festival, where participants celebrate the end of the race by being doused in different coloured, non-toxic powder.

Website: thecolorrun.co.za
Facebook: TheColorRunSouthAfrica
Twitter: thecolorrunsa
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
"
22,R750 | U12s R400 | Ticket + Luxury picnic basket R1 000 (bookings via phone or email),24 to 24 February 2018,9.30am to late,Grande Provence Harvest Festival,"Grande Provence Wine Estate, Main Rd, Franschhoek","The annual Grande Provence Harvest Festival invites guests for a day of “barrels of fun in the vineyards, fine wines and a laid back country picnic”.
The Harvest Festival has a line-up of morning tractor rides, grape picking to the beat of a vibrant troop of Cape minstrels, grape stomping, and a cellar tour and tasting. When all the vineyard activities are done, a harvest picnic, prepared by Grande Provence Executive Chef Guy Bennett, awaits.
The picnic includes a bottle of wine per couple and is packed with local artisanal charcuterie, cheeses, house-made preserves and pickles, a variety of salads, farm-style bread, and choc chip cookies. The Luxury picnic baskets has additional oysters fresh from the Grande Provence oyster tank, a bottle of Grande Provence Methode Cap Classique and a selection of handmade chocolate truffles.
Children’s entertainment and activities are available as well.
Tel: 021 876 8600
Email: eventsassist@grandeprovence.co.za
Website: www.grandeprovence.co.za
Facebook: GPWineEstate
Twitter: grande_provence
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
"
23,R500 – R750 | Kids R80 (bookings via email),23 to 25 February 2018,Time: Dependent on which XTERRA you enter (schedule on website),Fedhealth XTERRA Grabouw,"Elgin Grabouw Country Club, 26 Worcester St, Grabouw","Fedhealth XTERRA Grabouw is the biggest XTERRA event in the world, with over 2 000 XTERRA Warriors battling it out for the title of South African XTERRA Champion. There are also numerous age group qualification slots up for grabs for the XTERRA World Championship held annually in Hawaii.
Over the years, Grabouw has become synonymous with XTERRA. The “unforgiving yet extremely beautiful and rewarding” terrain provides a fair challenge to all Warriors. Whether it’s taking on the tough climbs of the MTB leg or sprinting down the run leg on the soft sand of the dam’s beach, Fedhealth XTERRA Grabouw pushes participants to their limits, while invigorating them at the same time.
Full event and XTERRA courses details available via the official website.
Email: entries@stillwatersports.com
Website: www.stillwatersports.com
Facebook: FedhealthMedicalAid
Twitter: Fedhealthmed
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
"
24,R30 | U18s R15 | Concessions R15,22 September 2017 to 31 March 2018,10am to 5pm,Derek Bauer Illustrations at Iziko,"Iziko South African National Gallery, Government Ave, Company’s Garden, Cape Town","Derek Bauer’s critical cartooning works, Alternative Press, Works by Derek Bauer, reignites thought at Iziko. Cartoons have a long history of impacting society, and this exhibition, showcasing his original works and celebrating him as one of South Africa’s finest cartoonists, is no different.
Bauer became known for his provocative cartoons, mostly portraying the apartheid government, politicians and prominent figures of the time. The materials included in the exhibition span the period from 1985 to 1993. The cartoons provide recollections of SA during the turbulent 1980’s. It also portrays the unbanning of political parties such as the African National Congress (ANC), the release of political prisoners, and captures the negotiations which would eventually result in the country’s first democratic elections.
While theses illustrations reflect a dark time in the country’s history, much of it can still be seen as relevant today. Bauer’s art influenced the early works of Zapiro and Brandon Reynolds, whose cartoons are also presented as a contemporary capsule within the exhibition. These artworks have remained untouched for more than a decade after the artist’s death on 16 December 2001. This poignant tribute documents key moments in SA’s political history, and is geared to encourage contemporary conversations.
Tel: 021 481 3800
Email: info@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
25,R89 – R175,31 October 2017 to 27 April 2018,Time: 6pm | Sat 5pm | Sun 4pm,The Galileo Open Air Cinema,Various,"The Galileo Open Air Cinema is back again with a variety of movie favourites under a ceiling of stars in some of Cape Town’s most popular venues.
This year’s line-up includes old classics and new favourites, such as Grease, Dirty Dancing, Pretty Woman, Titanic, Finding Dory, Moana, Deadpool, Beauty and The Beast (2017) and more. Before the film begins at sunsets, a festive mini-market serves food, soft drinks, alcoholic beverages, coffee and popcorn.
See full line-up here.
Open Air Venues:
Tuesdays: Bloemendal Wine Estate, Durbanville
Wednesdays: Kirstenbosch Gardens, Newlands
Thursdays: V&A Waterfront, Foreshore
Fridays: Various rotating venues, Cape Town
Select Saturdays: Various wine estates, Cape Winelands
Select family Sundays: Kelvin Grove Club, Newlands

 
 
Tel: 071 471 8728
Email: hello@thegalileo.co.za
Website: thegalileo.co.za
Facebook: GalileoCinema
Twitter: Galileo_Cinema
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
26,R137.50 | Children R67.50,1 November 2017 to 28 February 2018,6pm to 8pm,Table Mountain Cableway Sunset Special,"Table Mountain Aerial Cableway Station, Tafelberg Rd, Oranjezicht, Cape Town","The Table Mountain Cableway offers a Sunset Special during Cape Town’s summer months.
Guests experience an African sunset from the top of one of the world’s 7 Wonders of Nature by taking a cable car to the mountain’s summit. The Sunset Special offers the opportunity to capture a beautiful picture from the top of Table Mountain during the summer’s longer days and balmy evenings.
Tickets are half-price after 6pm. The special is available to South Africans with valid SA IDs only. Guests are not advised to use the free park-and-ride MyCiTi bus service for the Sunset Special as the service runs until 7pm only.
The special excludes dates 18 December 2017 to 3 January 2018.

 
 
Tel: 021 424 0015
Email: info@tablemountain.net
Website: www.tablemountain.net
Facebook: TableMountainCa
Twitter: TableMountainCa
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
27,Free entrance,20 November 2017 to 20 February 2018,Mon to Fri 9.30am to 5pm | Sat 9.30am to 1pm,Eclectica: Divergent Tides,"Venue: Eclectica Gallery, 179 Buitengracht St, Gardens","
Eclectica presents a group exhibition featuring works by Leila Fanner, Asuka Nirasawa and Lars J Fischedick among others. The works are themed around the idea of holding up a mirror to the self, creatively navigating issues by way of confronting difficulties through art.
What sets Eclectica apart from the many minimalist contemporary galleries in Cape Town is the combination of art and carefully selected furniture. Read Bronwyn-Leigh Knox’s review of a previous group show at Eclectica.
Website: www.eclecticadesignandart.co.za
Facebook: Divergent Tides
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
28,R170,25 November 2017 to 24 February 2018,5pm to 8pm,Comedy in the Vines,"Spier Wine Farm, R310 Lynedoch Rd, Stellenbosch","Spier Wine Farm presents its Comedy in the Vines series featuring four of South Africa’s top comedians. Guests enjoy an evening of laughs, some wine and a summer picnic on the grass, under the stars.
Line-up:
– 25 November: Schalk Bezuidenhout
– 23 December: Barry Hilton
– 23 January: Stuart Taylor
– 24 February: Marc Lottering

 
 
Tel: 021 809 1100
Email: info@spier.co.za
Website: www.spier.co.za
Facebook: spierwinefarm
Twitter: spierwinefarm
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
29,Free entry,7 December 2017 to 2 March 2018,First Thursdays 5pm to 8pm | Weekdays 12pm to 2pm,Light Space Life – Architectural Exhibition,"The Architect Pop-up Gallery, Cape Institute for Architecture, 71 Hout St, CBD, Cape Town","SAOTA present their first exhibition, Light Space Life, an architectural exhibtion highlighting the company’s past, present and future work around the globe.
With works in 86 countries, the gallery has been transformed to reflect SAOTA’s distinctive style and dedicated approach to design. The space is divided into regions – Southern Africa, West-, East- and Central Africa, Europe, Middle East, Australia and America – taking the viewer through the studio’s history and 30-year journey.
A focal point is a high impact zone featuring a selection of signature projects and timelapse footage. Design collaborative and software development studio, Tenebris Lab allow viewers to experience and explore projects in Virtual Reality through Lux Walker. SAOTA staff have also built scale models of key projects to demonstrate the use of light and space.
Tel: 021 468 4400
Email: info@saota.com
Website: www.saota.com
Facebook: SAOTA.Architecture
Twitter: _saota
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
