,Cost,Date-range,Time,Title,Venue,event_text
11,Free entry,7 December 2017 to 2 March 2018,First Thursdays 5pm to 8pm | Weekdays 12pm to 2pm,Light Space Life – Architectural Exhibition,"The Architect Pop-up Gallery, Cape Institute for Architecture, 71 Hout St, CBD, Cape Town","SAOTA present their first exhibition, Light Space Life, an architectural exhibtion highlighting the company’s past, present and future work around the globe.
With works in 86 countries, the gallery has been transformed to reflect SAOTA’s distinctive style and dedicated approach to design. The space is divided into regions – Southern Africa, West-, East- and Central Africa, Europe, Middle East, Australia and America – taking the viewer through the studio’s history and 30-year journey.
A focal point is a high impact zone featuring a selection of signature projects and timelapse footage. Design collaborative and software development studio, Tenebris Lab allow viewers to experience and explore projects in Virtual Reality through Lux Walker. SAOTA staff have also built scale models of key projects to demonstrate the use of light and space.
Tel: 021 468 4400
Email: info@saota.com
Website: www.saota.com
Facebook: SAOTA.Architecture
Twitter: _saota
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
12,,7 December 2017 to 28 February 2018,9am to 7pm Monday to Thursday | 9am to 6pm Friday | 9am to 1pm Saturday,Antarctica 2020 – Dr Roger Melvill,"The Goldsmiths Gallery, 58 Loop Street, Cape Town","The Goldsmiths Gallery presents the very first exhibition by the neurosurgeon and fine artist, Dr Roger Melvill. The series of works on oil and canvas draws inspiration from Melvill’s travels to Antarctica.
All proceeds from the exhibition are dedicated to endurance swimmer Lewis Pugh’s Foundation which works for ocean preservation and conservation.
Tel: 084 685 0109
Website: www.melvillart.com
Facebook: The Goldsmiths Gallery
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
13,R80,8 December 2017 to 11 March 2018,10am | 12pm | 2pm | 4pm | 6pm | 8pm,Clue Room 2,"Tyger Valley Centre, cnr of Bill Bezuidenhout and Willie van Schoor Rds, Bellville, Cape Town","Tyger Valley’s mystery escape game, Clue Room is back due to popular demand, featuring more clues, greater mysteries and more suspense.
Groups (between 4-6 people) choose between entering the Zombie Apocalypse room or brave The mysterious amulet of Garvey Lytle to discover the secrets that lie behind the scenes presented before them.

Tel: 021 914 1822
Email: info@tygervalley.co.za
Website: www.tygervalley.co.za
Facebook: TygerValley
 
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
14,R155 – R285 (bookings via phone),11 December 2017 to 30 April 2018,12pm onwards,Garden Picnics at The Cellars-Hohenort,"The Cellars-Hohenort Hotel, 93 Brommersvlei Rd, Constantia, Cape Town","The Cellars-Hohenort 5-star hotel offers a selection of garden picnics to be enjoyed by both guests and non-resident visitors.
Ideal as a lunch choice for romantic twosomes, a family, or a party of friends, these ready-packed picnic hampers (baskets are purchased from the Cape Town Society for the Blind) are the perfect al fresco option for those looking to savour the peace and tranquility of the hotel’s award-winning grounds, picturesque surrounds and fresh fare.
The hotel offers 3 menus that can be booked in advance. Baskets include picnic treats such as artisanal house salads, a selection of tapas and homebaked treats.
Menu 1: Selection of two tapas, fresh homemade baked ciabatta with farm butter, roasted chicken quarters, artisan house salads, carrot cake and cream cheese, and water or fresh-pressed juice.
Menu 2: Selection of three tapas, fresh homemade baked ciabatta with farm butter, artisan house salads in a jar with vinaigrette, roasted chicken quarters, local artisan cheese board with preserves and lavash, scones with strawberry jam and whipped cream, and water or fresh-pressed juice.
Menu 3: Selection of four tapas, fresh homemade baked ciabatta with farm butter, artisan house salads, roasted chicken quarters, local artisan cheese board with preserves and lavash, local handcrafted cold meats and pickled mustard, biltong and nuts, Pastry Chef’s dessert of the day, and water or fresh-pressed juice.
Guests can add an additional treat of a bottle of champagne and fresh strawberries to their basket.
Tel: 021 794 2137
Email: fbmanager@cellars-hohenort.co.za
Website: www.thecellars-hohenorthotel.com
Facebook: TheCellarsHohenort
Twitter: McGrathHotels
 
 "
15,R100 | R70 Wild Card / Red Bus | Concessions R50 | U16s free,18 December 2017 to 28 February 2018,Fri – Mon 9am to 7pm | Tue – Thu 9am to 4pm,Underwater Photographer of the Year 2017,"Chavonnes Battery Museum, Clock Tower Precinct, V&A Waterfront, Cape Town","The Chavonnes Battery Museum hosts the Underwater Photographer of the Year 2017 exhibition, featuring 50 intriguing images in 10 categories by 100 finalists from 20 countries, including South Africa, Mexico, Finland, Indonesia, Egypt, Sudan, Norway, Canada, France, Italy and the UK.
The Underwater Photographer of the Year is a London based annual competition that seeks to celebrate photography beneath the surface of the sea, lakes, rivers and even swimming pools. This year the competition saw 4 500 entries taken in 67 countries.
Guests immerse themselves for an hour or two in the colourful images underwater then they step below sea-level, meander over and between the ribs of the 18th Century Archaeology ruins and discover the story of the “Cape of Storms”.
“If you are a lover of photography, this annual event is not to be missed.” Read Mia Russell’s review of the Underwater Photographer of the Year exhibition.

Tel: 021 416 6230
Email: info@chavonnesbattery.co.za
Website: www.chavonnesbattery.co.za
Facebook: ChavonnesBatteryMuseum
Twitter: chavonnesm
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
16,R30 | U18s R15 | Concessions R15,9 January 2018 to 4 March 2018,10am to 5pm,Augmented Reality African Nature Experience,"Iziko South African Museum, Queen Victoria St, Company’s Garden, Cape Town","Iziko presents its Nature’s Best Photography Africa photographic exhibition in augmented reality (AR), in which visitors experience the 2017 winners works like never before.
Visitors to the exhibition need to download the Zappar augmented reality application on their smart phones. This allows them to unlock the experience on their digital devices. The Zappar App also activates an ‘augmented audio guide’ for the exhibition when visitors scan special AR codes throughout the exhibit.
Co-developed with AR Studio, The Burping Turtle, the unique AR experience puts visitors in the position to access information about where the photo was taken and how the photographer managed to take the shot. The use of this technology enhances the visitor’s experience and places Iziko at the forefront of innovative projects.
‘Selfie’ kings and queens also stand a chance to win a catalogue by entering their AR selfie in an online promotion using the hashtag #NBPAfrica2018. Users pose with the AR filter, snap a picture and share it on social media to stand a chance to win an exquisite coffee table book showcasing the 2017 winning images.
The Nature’s Best Photography Africa exhibition features over 100 award-winning photographs that were taken in Africa by global photographers.
Tel: 021 481 3800
Email: info@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
17,R140 – R220,18 January 2018 to 3 March 2018,Various,Maynardville Open-Air Festival,"Maynardville Open-Air Theatre, Maynardville Park, Piers Rd, Wynberg, Cape Town","The Maynardville Open-Air Festival takes the annual Cape Town theatre tradition, Shakespeare Under the Stars, into a new era with an expanded classical experience.
Showcasing a season of symphony, theatre, ballet, comedy and more, the Festival weaves elements of Shakespeare into a selection of shows.
The Cape Town Philharmonic Orchestra performs popular orchestral music set to Shakespeare’s most popular works in the Symphonic Shakespeare concerts. This is followed by Cape Town City Ballet’s piece, Les Sylphides and The Firebird, which does not follow a narrative, but rather offers viewers a reverie of music and dance. The Cape Town Comedy Club presents Jesters in the Park (with a nod to the Bard), a high profile stand-up comedy lineup hosted by Rob van Vuuren. The Shakespeare play for 2018 is The Taming of the Shrew, a reinvented and re-energised production by Tara Notcutt, produced by Siv Ngesi and The Pink Couch.

Website: maynardville.co.za
Facebook: maynardvilleopenairtheatre
Twitter: mayvilleopenair
 "
18,R80,20 to 20 January 2018,1.30pm to 8pm,Farmhouse Rocks: Deep South Blues Fest,"Cape Farmhouse Restaurant, Junction M66 & M65, Plateau rd, Scarborough, Cape Town","Farmhouse Rocks presents the annual Deep South Blues Fest, featuring top blues and rock musicians with diverse talent taking the stage with voice and guitar. The outdoor stage renders the show a family-friendly affair and food and drinks are on sale.
‘Deep in the south, over many a hill, an ominous steel horse sculpture greets visitors as they tread the path to the Cape Farmhouse.  It is an image of stark contrast to the warm, fun atmosphere that awaits inside.’ Read Keenan Oakes’ review of a previous concert at the Cape Farmhouse.
 SEE WHAT ELSE IS ON IN THE CAPE PENINSULA


 "
19,R150,22 January 2018 to 3 February 2018,8.30pm – 9.50pm,Stuart Taylor – Funny You Should Say That,"Baxter Concert Hall, Baxter Theatre, Main Rd Rondebosch, Cape Town","Best known to South African audiences as the host of the hit travel show, Going Nowhere Slowly, Stuart Taylor’s multi-disciplinary act brings comedy and magic to the stage in a standup show directed by award winning comic director, Rob van Vuuren. The award-winning performer presents a seamless solo comedy-magic show at the Baxter Theatre.


Tel: 021 685 7880
Website: www.stuarttaylor.co.za
Facebook: Stuart Taylor Comedian
 "
20,R100 online | R110 at the door,31 January 2018 to 3 February 2018,9pm to 10pm,James Grace – Unplugged,"Alexander Bar & Cafe, 76 Strand St, CBD, Cape Town","Acclaimed guitarist, James Grace returns to the Alexander Bar in Unplugged, an intimate solo performance featuring a selection of Spanish guitar favourites, with works from his recently-released sixth studio album, Chilled. 
Unplugged features just Grace and his guitar, performing works that have earned him critical international acclaim and two SAMA nominations. He recently performed a sold-out run at Theatre on the Bay with Recuerdos, a multi-media production.
“For me, his performance perfectly exemplified not just the versatility of the acoustic guitar but the depth of emotion that can be reached when passion is coupled with true mastery.” Read Odile Hufkie’s review of James Grace.

Tel: 021 300 1652
Email: upstairs@alexanderbar.co.za
Website: alexanderbar.co.za
Facebook: alexanderbarct
Twitter: AlexanderBarCT
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
21,Cost: Free,24 January 2018 to 24 February 2018,Time: Opening night at 6pm | Mon – Fri 10am to 6pm | Sat 10am to 2pm,‘Migration’ at Salon 91,"Salon 91, 91 Kloof St, Gardens, Cape Town","Salon 91 presents Migration, Sarah Pratt’s latest solo art exhibition, with which viewers are free to muse on the encounters of birds, mammals, plants and other flying things in the ‘nowhere’ place of the picture plane. In spaces described by decorative foliage or a pink sunrise or sunset, Pratt’s encounter of species delicately reflects an uncertain universe.
Migration is a whimsical look at animals in diaspora. This is not the first time that Pratt has employed animals in her works, but her employment of them remains vested in the juxtaposition of the unexpected, and the absurdity and humour of dreams. Throughout her exhibitions Pratt’s animals have met in curious spaces such as the foreign locales in Away or the sinister cocoon of The Dark Forest. Her works communicate the musings of the artist’s own personal struggles with space and place, and humanity’s tenuous link with the natural world.
“Sarah Pratt has created a collection of elegant-yet-approachable, emotional-yet- lighthearted art which focuses on joy while dealing with a profound issue  – a fitting homage to the life of a faithful friend.” Read Marie Stinnes’ review of Sarah Pratt at Salon 91.
Tel: 021 424 6930
Email: info@salon91.co.za
Website: www.salon91.co.za
Facebook: Salon 91 Contemporary Art Collection
Twitter: @SalonNinetyOne
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
22,Free,25 January 2018 to 24 February 2018,Time: Opening night 5.30pm | Mon – Fri 9am to 5pm | Sat 10am to 1pm,‘LOVE?’ at SMITH Studio,"SMITH Studio, 56 Church St, CBD, Cape Town","SMITH presents LOVE?, the first solo exhibition from Pretoria-based artist Banele Khoza, following on from a successful 2017 that included group shows, three art fairs and a prestigious award.
This exhibition of paintings and digital prints showcases Khoza’s concern with gender, masculinity and identity remain strong motivations in his new collection. LOVE? introduces a a wistful and sardonic take on love in he technological age. Using wry humour and frank confessions in the form of text interventions in his paintings, Khoza takes aim at the irony of disengagement in our uber-connected contemporary society. His recent works combine image and text in informal arrangement.
In 2017, Khoza represented SMITH at the Cape Town Art Fair, the FNB Joburg Art Fair and the AKAA Fair in Paris. He completed an annus mirabilis in September 2017 by securing the Gerard Sektoto Award at the ABSA Art Gallery with his series Note Making and with it a three-month residency at the Cité Internationale des Arts in Paris along with French lessons at the Alliance Française.
Khoza hosts a free walkabout of his exhibition on 27 January at 10am.
Tel: 021 422 0814
Email: info@smithstudio.co.za
Website: www.smithstudio.co.za
Facebook: SMITHfineartgallery
Twitter: smithstudioct
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
23,Cost: R220 – R250,26 to 27 January 2018,Time: 8.15pm to 9.45pm,Laurika Rauch & Loki Rothman,"Oude Libertas Amphitheatre, Oude Libertas Wine Estate, cnr Adam Tas Rd & Libertas Rd, Stellenbosch","Oude Libertas presents a performance by Laurika Rauch and Loki Rothman, as part of its Summer Season Festival.
Rauch and Rothman began collaborating after he rewrote her iconic 1999 hit Blue, as well as recording a duet version of the song, for her latest album, The Trip. The unique collaboration sparked a demand for stage performances, where Rothman accompanies her with his percussion guitar, singing and performing his virtuoso guitar solos. The show includes several new songs, including Love from Stellenbosch, a new version of See How the Moon Glistens, heard in the movie Dear Christmas Father.
What3Words:

 
 
Tel: 021 809 7473 / 7380
Email: theatre@oudelibertas.co.za
Website: oudelibertas.co.za
Facebook: Oude Libertas Amphitheatre
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
"
24,,27 to 27 January 2018,,The GH Mumm Sun Met 2018,,"The Sun Met is a prestigious annual horse-racing event with top South African entertainment and prizes awarded for the best dressed in attendance. 2018 sees the 134th race which includes 13 powerful events which can be viewed from varying levels of comfort and style to suit every budget.
Guests are encouraged to dress according to this year’s theme which is ‘Style ahead of the Field’ – colours, prints and styles inspired by Africa. The event is an opportunity for top designers to showcase their works and for all in attendance to put on their best threads and enjoy the spectacle.
‘But the J&B Met happens every year, so you’ll always have the chance to try again or enhance your experience whether you’re a rider, designer, or socialite.’ Read Kristan Wood’s review of the 2013 Met.
Venue: Kenilworth Racecourse, Rosmead Ave, Kenilworth, Cape Town
Time: 11am to 12am
Cost: General Access R200 | Entertainment Packages R2350 to R4495
Tel: 021 700 1600


Website: www.sunmet.co.za
Facebook: The Sun Met
 "
25,Cost: Adults R650 | Children R120,27 to 27 January 2018,Time: 11.30am,Delheim Harvest Festival,"Delheim Wine Estate, Knorhoek, Stellenbosch","The Delheim Harvest Festival invites guests to sample wine, join in on grape picking and stomping, indulge in a meal and listen to live music by the multi-instrumentalist folk-rock duo, Bottomless Coffee Band. A cash bar is available and a children’s table is laid, making the celebration appropriate for the whole family.
Email: Bookings charlotte@delheim.com
Website: www.delheim.com
Facebook: Delheim
Twitter: @Delheim
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND


 "
26,Free,27 to 27 January 2018,9am to late,Stellenbosch Harvest Parade,Stellenbosch,"The Stellenbosch Harvest Parade sees Cape minstrels, drum majorettes, merry farm workers and marching brass bands invading the oak-lined streets of Stellenbosch.
This convivial convoy of big smiles and bold tractors promises to cater for traffic-stopping entertainment, when the uniquely adorned ‘chariots’ sashay their way through the City of Oaks to usher in the grape harvest season’s hustle-and-bustle. The Stellenbosch Harvest Parade also pays homage to the real people behind this labour of love and especially the invaluable contribution of South Africa’s farm workers.
The highlight of this procession is the decorated tractors, trailers and farm trucks – all uniquely adorned by the workers themselves. The 2018 parade troupe represents participating wineries such as Simonsig, Lanzerac, Waterford, L’Avenir, Eikendal, Alto, Neethlingshof, Kleine Zalze Wines, Middelvlei and Delheim.

Tel: 021 886 8275
Email: explore@wineroute.co.za
Website: www.wineroute.co.za
Facebook: StellWineRoute
Twitter: StellWineRoute
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
"
27,,29 January 2018 to 4 February 2018,,Dandelions and Stones: Death goes to Therapy,,[]
28,Cost: R100 – R180,30 January 2018 to 10 February 2018,8pm,The Inconvenience of Wings,"Venue: Theatre On The Bay, 1 Link Rd, Camps Bay, Cape Town","Theatre On The Bay presents acclaimed writer and director, Lara Foot’s The Inconvenience of Wings, a play that brings bi-polar disorder and friendships into the spotlight.
Inspired by author Abraham J Twerski’s book Addictive Thinking, this production is set in a landscape of memory and dreams, and tackles the issues of friendship, dysfunction, addiction and angels. Sara has been diagnosed with bi-polar disorder; she is compulsive, alive and hates women who know how to make cupcakes. Andrew, her husband, is on a mission to find a cure for her afflictions and Professor James quietly tries to save Andrew from the inconvenience of his wings.
“The Inconvenience of Wings is a precious, honest, witty, well-informed, raw, pure piece of South African theatre.” Read Thola Antamu’s review of The Inconvenience of Wings.

 
 
Tel: 021 438 3301
Email: info@pietertoerien.co.za
Website: www.pietertoerien.co.za
Facebook: Pieter Toerien Productions
Twitter: @Pieter Toerien
 
 SEE WHAT ELSE IS ON IN THE CAPE PENINSULA

 "
29,R140 – R180,31 January 2018 to 3 February 2018,8.15pm,Jesters in the Park,"Venue: Maynardville Open-Air Theatre, Maynardville Park, Piers Rd, Wynberg, Cape Town","The Cape Town Comedy Club presents Jesters in the Park, a high profile stand-up comedy line-up hosted by award-winning comic Rob van Vuuren.
Jesters in the Park showcases five of South Africa’s top comedians as they “hold court” and “fool around” to tackle the social commentary of the day – from politics and road rage to yoga and water restrictions, all while managing to keep it family friendly. The line-up includes Daniel Richards, Dylan Skew, Phil de Lange and Kurt Schoonraad.
This production forms part of the 2018 Maynardville Open-Air Festival programme.

Website: maynardville.co.za
Facebook: maynardvilleopenairtheatre
Twitter: mayvilleopenair
 
 "
