,Cost,Date-range,Time,Title,Venue,event_text
10,Cost: R150 to R180,6 to 6 March 2018,Time: 7.30pm to 9.30pm,Signum Quartet: CT Concert Series,"Baxter Theatre, 1 Main Road, Rondebosch, Cape Town","
The Signum Quartet which hails from Germany collaborates with the UCT School of Music to present a concert on piano and viola. Renowned Capetonian violist Xandi van Dijk performs solo alongside the award-winning quartet and local musicians.
The Quartet will also be offering workshops and masterclasses at the UCT School of Music during their stay.
Email: info@ctconcerts.co.za
Website: www.ctconcerts.co.za
 "
11,,16 to 18 March 2018,,The Dino Expo,,"
The Dino Expo is a travelling interactive exhibition of lifelike animatronic dinosaur models and educational activities suitable for kids between 2 and 12 years old. The showcase engages all of the senses and includes both free and paid activities which include the Jurassic Tour, jumping castle, electric train, dino rides, Wits University rock fossils and more.
Venue: Stellenbosch Town Hall
Time: 10am to 6pm
Cost: R100 Adults | R80 Children
Tel: 076 327 0392

Email: info@thedinoexpo.com
Website: thedinoexpo.com
Facebook: The Dino Expo Stellenbosch Town Hall
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
 
"
12,Cost: Free Entrance,14 February 2018 to 14 April 2018,Time: Mon to Fri 9am to 6pm | Sat 10am to 2pm,Extra Ordinary: Southern Guild,"Guild, Shop 5B, Silo 5, V&A Waterfront, Cape Town","Southern Guild presents a multidisciplinary group exhibition in celebration of its tenth anniversary. The gallery is known for pioneering collectable design in South Africa and has invited a selection of makers to produce exploratory new design work that crosses over into other disciplines, materials and technologies.
Exhibitors include fashion designer Rich Mnisi, ceramic artists Zizipho Poswa and Madoda Fani, sculptors Daniella Mooney and Stanislaw Trzebinski, and newcomers such as 3D illustrator Ferdi B. Dick. Julian McGowan, co-founder of The Guild Group, has provided mentorship and guidance to each designer during the process of creating work for the exhibition and the result is an innovative selection of furniture, lighting, sculpture, jewellery and more.
‘Heavy Metal remains a challenging exhibition. Exploratory design propels the commonplace into the realms of the conceptually complex. At its best, the work at the Foundry is a salient reminder of the astonishing qualities that saturate both raw materials and elements of utility.’ Read Alice Meyer’s review of a previous exhibition at Southern Guild.
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
13,R30 | U18s R15 | Concessions R15,22 September 2017 to 31 March 2018,10am to 5pm,Derek Bauer Illustrations at Iziko,"Iziko South African National Gallery, Government Ave, Company’s Garden, Cape Town","Derek Bauer’s critical cartooning works, Alternative Press, Works by Derek Bauer, reignites thought at Iziko. Cartoons have a long history of impacting society, and this exhibition, showcasing his original works and celebrating him as one of South Africa’s finest cartoonists, is no different.
Bauer became known for his provocative cartoons, mostly portraying the apartheid government, politicians and prominent figures of the time. The materials included in the exhibition span the period from 1985 to 1993. The cartoons provide recollections of SA during the turbulent 1980’s. It also portrays the unbanning of political parties such as the African National Congress (ANC), the release of political prisoners, and captures the negotiations which would eventually result in the country’s first democratic elections.
While theses illustrations reflect a dark time in the country’s history, much of it can still be seen as relevant today. Bauer’s art influenced the early works of Zapiro and Brandon Reynolds, whose cartoons are also presented as a contemporary capsule within the exhibition. These artworks have remained untouched for more than a decade after the artist’s death on 16 December 2001. This poignant tribute documents key moments in SA’s political history, and is geared to encourage contemporary conversations.
Tel: 021 481 3800
Email: info@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
14,R89 – R175,31 October 2017 to 27 April 2018,Time: 6pm | Sat 5pm | Sun 4pm,The Galileo Open Air Cinema,Various,"The Galileo Open Air Cinema is back again with a variety of movie favourites under a ceiling of stars in some of Cape Town’s most popular venues.
This year’s line-up includes old classics and new favourites, such as Grease, Dirty Dancing, Pretty Woman, Titanic, Finding Dory, Moana, Deadpool, Beauty and The Beast (2017) and more. Before the film begins at sunsets, a festive mini-market serves food, soft drinks, alcoholic beverages, coffee and popcorn.
See full line-up here.
Open Air Venues:
Tuesdays: Bloemendal Wine Estate, Durbanville
Wednesdays: Kirstenbosch Gardens, Newlands
Thursdays: V&A Waterfront, Foreshore
Fridays: Various rotating venues, Cape Town
Select Saturdays: Various wine estates, Cape Winelands
Select family Sundays: Kelvin Grove Club, Newlands

 
 
Tel: 071 471 8728
Email: hello@thegalileo.co.za
Website: thegalileo.co.za
Facebook: GalileoCinema
Twitter: Galileo_Cinema
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
15,Free entry,7 December 2017 to 2 March 2018,First Thursdays 5pm to 8pm | Weekdays 12pm to 2pm,Light Space Life – Architectural Exhibition,"The Architect Pop-up Gallery, Cape Institute for Architecture, 71 Hout St, CBD, Cape Town","SAOTA present their first exhibition, Light Space Life, an architectural exhibtion highlighting the company’s past, present and future work around the globe.
With works in 86 countries, the gallery has been transformed to reflect SAOTA’s distinctive style and dedicated approach to design. The space is divided into regions – Southern Africa, West-, East- and Central Africa, Europe, Middle East, Australia and America – taking the viewer through the studio’s history and 30-year journey.
A focal point is a high impact zone featuring a selection of signature projects and timelapse footage. Design collaborative and software development studio, Tenebris Lab allow viewers to experience and explore projects in Virtual Reality through Lux Walker. SAOTA staff have also built scale models of key projects to demonstrate the use of light and space.
Tel: 021 468 4400
Email: info@saota.com
Website: www.saota.com
Facebook: SAOTA.Architecture
Twitter: _saota
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
16,R80,8 December 2017 to 11 March 2018,10am | 12pm | 2pm | 4pm | 6pm | 8pm,Clue Room 2,"Tyger Valley Centre, cnr of Bill Bezuidenhout and Willie van Schoor Rds, Bellville, Cape Town","Tyger Valley’s mystery escape game, Clue Room is back due to popular demand, featuring more clues, greater mysteries and more suspense.
Groups (between 4-6 people) choose between entering the Zombie Apocalypse room or brave The mysterious amulet of Garvey Lytle to discover the secrets that lie behind the scenes presented before them.

Tel: 021 914 1822
Email: info@tygervalley.co.za
Website: www.tygervalley.co.za
Facebook: TygerValley
 
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
17,R155 – R285 (bookings via phone),11 December 2017 to 30 April 2018,12pm onwards,Garden Picnics at The Cellars-Hohenort,"The Cellars-Hohenort Hotel, 93 Brommersvlei Rd, Constantia, Cape Town","The Cellars-Hohenort 5-star hotel offers a selection of garden picnics to be enjoyed by both guests and non-resident visitors.
Ideal as a lunch choice for romantic twosomes, a family, or a party of friends, these ready-packed picnic hampers (baskets are purchased from the Cape Town Society for the Blind) are the perfect al fresco option for those looking to savour the peace and tranquility of the hotel’s award-winning grounds, picturesque surrounds and fresh fare.
The hotel offers 3 menus that can be booked in advance. Baskets include picnic treats such as artisanal house salads, a selection of tapas and homebaked treats.
Menu 1: Selection of two tapas, fresh homemade baked ciabatta with farm butter, roasted chicken quarters, artisan house salads, carrot cake and cream cheese, and water or fresh-pressed juice.
Menu 2: Selection of three tapas, fresh homemade baked ciabatta with farm butter, artisan house salads in a jar with vinaigrette, roasted chicken quarters, local artisan cheese board with preserves and lavash, scones with strawberry jam and whipped cream, and water or fresh-pressed juice.
Menu 3: Selection of four tapas, fresh homemade baked ciabatta with farm butter, artisan house salads, roasted chicken quarters, local artisan cheese board with preserves and lavash, local handcrafted cold meats and pickled mustard, biltong and nuts, Pastry Chef’s dessert of the day, and water or fresh-pressed juice.
Guests can add an additional treat of a bottle of champagne and fresh strawberries to their basket.
Tel: 021 794 2137
Email: fbmanager@cellars-hohenort.co.za
Website: www.thecellars-hohenorthotel.com
Facebook: TheCellarsHohenort
Twitter: McGrathHotels
 
 "
18,R30 | U18s R15 | Concessions R15,9 January 2018 to 4 March 2018,10am to 5pm,Augmented Reality African Nature Experience,"Iziko South African Museum, Queen Victoria St, Company’s Garden, Cape Town","Iziko presents its Nature’s Best Photography Africa photographic exhibition in augmented reality (AR), in which visitors experience the 2017 winners works like never before.
Visitors to the exhibition need to download the Zappar augmented reality application on their smart phones. This allows them to unlock the experience on their digital devices. The Zappar App also activates an ‘augmented audio guide’ for the exhibition when visitors scan special AR codes throughout the exhibit.
Co-developed with AR Studio, The Burping Turtle, the unique AR experience puts visitors in the position to access information about where the photo was taken and how the photographer managed to take the shot. The use of this technology enhances the visitor’s experience and places Iziko at the forefront of innovative projects.
‘Selfie’ kings and queens also stand a chance to win a catalogue by entering their AR selfie in an online promotion using the hashtag #NBPAfrica2018. Users pose with the AR filter, snap a picture and share it on social media to stand a chance to win an exquisite coffee table book showcasing the 2017 winning images.
The Nature’s Best Photography Africa exhibition features over 100 award-winning photographs that were taken in Africa by global photographers.
Tel: 021 481 3800
Email: info@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
19,R140 – R220,18 January 2018 to 3 March 2018,Various,Maynardville Open-Air Festival,"Maynardville Open-Air Theatre, Maynardville Park, Piers Rd, Wynberg, Cape Town","The Maynardville Open-Air Festival takes the annual Cape Town theatre tradition, Shakespeare Under the Stars, into a new era with an expanded classical experience.
Showcasing a season of symphony, theatre, ballet, comedy and more, the Festival weaves elements of Shakespeare into a selection of shows.
The Cape Town Philharmonic Orchestra performs popular orchestral music set to Shakespeare’s most popular works in the Symphonic Shakespeare concerts. This is followed by Cape Town City Ballet’s piece, Les Sylphides and The Firebird, which does not follow a narrative, but rather offers viewers a reverie of music and dance. The Cape Town Comedy Club presents Jesters in the Park (with a nod to the Bard), a high profile stand-up comedy lineup hosted by Rob van Vuuren. The Shakespeare play for 2018 is The Taming of the Shrew, a reinvented and re-energised production by Tara Notcutt, produced by Siv Ngesi and The Pink Couch.

Website: maynardville.co.za
Facebook: maynardvilleopenairtheatre
Twitter: mayvilleopenair
 "
20,Cost: R120 – R220,16 February 2018 to 10 March 2018,8pm | Sat again at 5pm,Present Laughter,"Venue: Theatre On The Bay, 1 Link Rd, Camps Bay, Cape Town","Pieter Toerien celebrates 30 years of world-class entertainment with Noel Coward’s timeless comedy, Present Laughter.
The plot follows a few days in the life of the successful and self-obsessed light comedy actor Garry Essendine as he prepares to travel for a touring commitment in Africa. Amid a series of events bordering on farce, Garry has to deal with women who want to seduce him, placate both his long-suffering secretary and his estranged wife, cope with a crazed young playwright, and overcome his impending mid-life crisis (since he has recently turned forty).
This production features West End star, Patrick Ryecart (The King’s Speech, Agatha Christie’s Poirot), Kate Normington, Michelle Maxwell, John Maytham and Marcel Meyer.

 
 
Tel: 021 438 3301
Email: info@pietertoerien.co.za
Website: www.pietertoerien.co.za
Facebook: Pieter Toerien Productions
Twitter: @Pieter Toerien
 
 SEE WHAT ELSE IS ON IN THE CAPE PENINSULA

 "
21,R140 – R220,7 February 2018 to 3 March 2018,Time: 8.15pm | 26 & 27 Feb at 7.45pm,Shakespeare’s The Taming of the Shrew,"Venue: Maynardville Open-Air Theatre, Maynardville Park, Piers Rd, Wynberg, Cape Town"," Shakespeare’s The Taming of the Shrew is reinvented and re-energised by Tara Norcutt as it comes to life under the stars with a meeting of classical text and modern twist.
Produced by Siv Ngesi and The Pink Couch, Norcutt’s adaptation of the Bard’s classic makes history with an all-female cast, something never before seen on a South African stage. Matters of gender, marriage, and family come together in this dark comedy of Kate, a headstrong woman, and her tempestuous relationship with Petruchio, the man who is set on wooing and winning her.
This production is part of the inaugural Maynardville Open-Air Festival programme.


Website: maynardville.co.za
Facebook: maynardvilleopenairtheatre
Twitter: mayvilleopenair
WIN WITH WHAT’S ON IN CAPE TOWN: To stand a chance to win a pair of tickets to The Taming of the Shrew for a performance of your choice between 7 – 21 February, simply leave your full name and a comment below. Draw takes place on 1 February 2018.
Stay up to date with all our latest competitions as well as our weekly Editor’s Picks and reviews: subscribe to our newsletter.

 "
22,R70 – R95,14 February 2018 to 28 April 2018,Time: 6pm,Outdoor Movie Nights at Spier,"Spier Wine Farm, R310, Stellenbosch","Spier hosts a series of outdoor movie nights, where guests enjoy a picnic while watching a popular film on a big screen set against the backdrop of the Stellenbosch mountains, under the stars.
Movie Line-up:
14 February: Pretty Woman
24 March: Tailor of Panama
28 April: Austin Powers: International Man of Mystery

 
 
Tel: 021 809 1100
Email: info@spier.co.za
Website: www.spier.co.za
Facebook: spierwinefarm
Twitter: spierwinefarm
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
23,R55 – R165 (Art Fair ticket prices) | Free entry into gallery,16 February 2018 to 23 March 2018,"Cape Town Art Fair: 11am to 7pm | Gallery times: Tue – Fri 10am to 5pm, Sat 10am to 1pm",Dirty Linen,"CTICC, Convention Square, 1 Lower Long St, Cape Town | Christopher Moller Gallery, 7 Kloofnek Rd, Gardens, Cape Town","Christopher Moller Gallery presents Dirty Linen (& The Nihilist’s Alphabet), the latest solo exhibition by Andrew Salgado.
The exhibition is launched at the Cape Town Art Fair, where it opens on Friday, 16 February. It then moves to the gallery, where it is displayed until the end of March.
Salgado is hailed as one of the most promising young figurative painters of his time, coming off of 12 sold-out exhibitions internationally, as well as receiving endorsements from critics, including Tony Godfrey, Edward Lucie-Smith, David Liss and others.
“In keeping with the international shows by the same artist, this one also sold out.” Read Samantha Reynolds’ review of Andrew Salgado.
Tel: 021 422 1599
Email: info@christophermollerart.co.za
Website: christophermollerart.co.za
Facebook: Christopher Moller Gallery
Twitter: MollerArt
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
24,R30 | U18s R15 | Concessions R15,17 February 2018 to 29 April 2018,10am to 5pm,El Anatsui at SA National Gallery,"Iziko South African National Gallery, Government Ave, Company’s Garden, Cape Town","The Iziko South African National Gallery hosts Meyina, the first solo exhibition of El Anatsui – one of the most influential contemporary artists working today – in South Africa.
Over the past four decades, Anatsui has created a body of work that has expanded the language of contemporary sculpture in Africa and internationally. Composed of crumpled pieces of metal bound together with copper wire, the exhibition showcases the artist’s recent large-scale sculptural installations, which read like intricate tapestries.
The works engage with and comment on African history, post-colonial conditions, as well as daily realities and experiences on the continent. Archival objects, exhibition plans, letters and other documents augment the works, offering a rare glimpse into the artist’s creative process. This exhibition is presented in partnership with the Goodman Gallery, curated by Olabisi Silva.
Tel: 021 467 7234
Email: ewhite@iziko.org.za
Website: www.iziko.org.za
Facebook: IzikoMuseums
Twitter: Iziko_Museums
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
25,Cost: Day pass R50 – R100 | Weekend pass R75 – R150 | VIP R120 – R250,24 to 25 March 2018,Time: Sat 8am to Sun 10pm,Cape Town Sixes,"Green Point Cricket Club, cnr Vlei Rd & Fritz Sonnenberg, Green Point, Cape Town","The 3rd annual Cape Town Sixes amateur cricket festival is a combination of Africa’s biggest 6’s tournament, music from top local artists, food and social development in the townships of the Western Cape.
The sporting event features several cricket leagues for all levels of competitiveness, music, comedy, gourmet food village, wine on the wicket, beach bar, a family area and more.
More information on the event is made available closer to the date.

 
 
Website: www.capetownsixesfestival.com
Facebook: Capetowncricketsixes
Twitter: cptcricketsixes
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
26,,28 February 2018 to 15 March 2018,,Piet Huysentruyt: Pop Up Restaurant,"The Conservatory, Klein Kastaiing, Happy Valley Road, La Motte, Franschhoek","
Double Michelin-starred chef Piet Huysenstruyt presents a visiting version of Likoké Restaurant located in Les Vans in France’s Rhône Valley. The pop-up restaurant is part of a ‘world tour’ commencing in Huysenstruyt’s native Belgium with stopovers in Japan, Indonesia and Singapore.
Huysenstruyt is known for his revolutionary combinations of noble ingredients and offal and the restaurant team is being followed by a TV crew, writer and photographer with a view to publishing a book about their culinary world tour.
Email: office@theconservatory.co.za
Website: www.likoke.fr/en/
Facebook: The Conservatory 
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
 

 "
27,R40 to R50,2 to 11 March 2018,Time: Various,Woordfees: Film Festival,"Pulp Cinema, 37 Victoria St, Stellenbosch Central, Stellenbosch","Woordfees presents the annual Film Festival which features Afrikaans and English short films and feature films. Both local and international directors are included in the lineup and both new and old productions are on the programme. Screenings take place at the University’s iconic Pulp Cinema and guests can pay on arrival. Jans Rautenbach and Raoul Peck are among the many filmmakers exhibited. Silwerskermfees winning short film, Skoon, is shown as well as Ingmar Bergman’s feature, Shame along with many more.
Website: woordfees.co.za
Facebook: Woordfees
Twitter: @Woordfees
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
 

 "
28,Cost: R160 – R190,2 to 2 March 2018,Time: 8.15pm to 9.45pm,"Mozart: Magic, Marriage, Madness","Oude Libertas Amphitheatre, Oude Libertas Wine Estate, cnr Adam Tas Rd & Libertas Rd, Stellenbosch","Oude Libertas presents Mozart: Magic, Marriage, Madness, a performance by three of the University of Cape Town’s Opera School’s students, as part of its Summer Season Festival.
Three of UCT’s Opera School’s most talented young stars perform a mosaic of Opera scenes from Moart’s Le Nozze di Figaro, Der Zauberflöte and Cosí Fan Tutte interwoven to create a unique and quirky semi-staged musical medley of “magic, marriage and mirth”.
A selection of arias, duets and trios connected by dialogue is performed by Brittany Smith (soprano), Ané Pretorious (mezzo) and Luvuyo Mbundu (baritone). They are joined by pianist, Dr. Lisa Engelbrecht.
What3Words:

 
 
Tel: 021 809 7473 / 7380
Email: theatre@oudelibertas.co.za
Website: oudelibertas.co.za
Facebook: Oude Libertas Amphitheatre
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND
"
29,R100  |  R250 special for family of four  | R80 for pensioners and U17 | Free for U12,2 to 4 March 2018,Time: 10am to 6pm,Cape Town Motor Show,"GrandWest Casino and Entertainment World, 1 Jakes Gerwel Dr, Goodwood, Cape Town","The annual Cape Town Motor Show is “the biggest and most innovative” motor exhibition to hit the City.
This event showcases a motor show of international standard that includes classic, luxury and exotic cars, as well as bikes, monster trucks, drifting, 4x4ing, food, music, virtual simulations, mutant vehicles, family entertainment and more.
 

 
 
Tel: 021 510 1466
Email: info@capetownmotorshow.co.za
Website: capetownmotorshow.co.za
Facebook: Cape Town Motor Show
Twitter: ctmotorshow
 
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH"
