,Cost,Date-range,Time,Title,Venue,event_text
10,Cost: Day Pass R300 | Three Day Pass R800 | Family Pass for 4 R1000,29 March 2018 to 7 April 2018,,Funderland Family Festival,"GrandWest Casino & Entertainment World, 1 Jakes Gerwel Dr, Goodwood","Funderland is an interactive showcase and playground featuring activities such as bubble soccer, cooking fun and drone racing, family-friendly stage performances and exhibitors such as Canon, Microsoft and more.
Top South African buskers create a street theatre experience for all in attendance. The festival also includes DinosAlive, a dinosaur exhibition that showcases 25 lifelike animatronic dinosaurs. Magician and illusionist Russell Fox presents a stage show and carnival rides and build-a-block are also on offer along with much more.

Tel: 021 271 0122
Website: www.funderland.co.za
Facebook: Funderland
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
11,Cost: R100 – R120,3 to 14 April 2018,Time: 8.30pm to 9.45pm,Puppet Guy – Conrad Koch,"Baxter Golden Arrow Studio, Baxter Theatre, Main Rd, Rondebosch, Cape Town","Baxter Theatre hosts South Africa’s top ventriloquist, Conrad Koch’s new comedy show, Puppet Guy.
Directed by the acclaimed Chris Weare, Puppet Guy is over an hour of puppet mayhem, including amusing characters made from found-objects, turning members of the audience into puppets, and, of course, the outspoken political analyst puppet of TV fame, Mr. Chester Missing.
“To me, Koch’s talent lies in the fact that he is able to slander politicians, corporate institutions and celebrities with perspicacity and insight.” Read Alice Meyer’s review of Conrad Koch.


Tel: 021 685 7880
Website: www.baxter.co.za
Facebook: baxtertheatre
Twitter: BaxterTheatre
 
 "
12,R199 – R799,6 to 8 April 2018,"Fri 3pm | Sat 10am, 12.30pm | Sun 10am, 12.30pm",Peppa Pig Live in SA,"Cape Town International Convention Centre (CTICC), Convention Square, 1 Lower Long St, Cape Town","Peppa Pig Live in South Africa is a fully immersive musical production featuring familiar and original songs, as well as an interactive sing-a-long.
This live stage show is based on the award-winning television series, and is especially designed to give young fans a unique first live theatre experience. The production features life-sized puppets and costumed characters, bringing Peppa Pig to life. A limited number of VIP Meet and Greet packages are available, and it includes the best seats in the house, exclusive access to the Peppa Pig party after the show, meet and greet photo opportunity with Peppa herself and a Peppa Pig Live gift.
What3Words:

 
 
Email: info@peppapiglive.co.za
Website: www.peppapiglive.co.za
Facebook: peppapigliveSA
Twitter: peppapigliveSA
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
13,R150 – R600,8 to 8 April 2018,11am to 6pm,GoodLuck Live at Vergenoegd,"Venue: Vergenoegd Löw Wine Estate, Baden Powell Dr, Stellenbosch","Vergenoegd Löw Wine Estate presents a live performance by South African Electronic Dance Music trio, GoodLuck, as part of the annual Live@Vergenoegd summer music festival.
GoodLuck is supported by Gemma Griffiths, Grace De La Hunt and Timothy De Monk. The event includes a dedicated kids’ area to keep the little ones entertained. Vergenoegd wine, a range of food and drinks are on sale.

 
 
Tel: 021 843 3248
Email: reservations@vergenoegd.co.za
Website: vergenoegd.co.za
Facebook: vergenoegd
Twitter: vergenoegd
 
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND

 "
14,,11 to 11 April 2018,,Carlos Santana Divination Tour,,"
Carlos Santana returns to Cape Town as part of his Divination Tour with special guests Mango Groove.
Multi-grammy award-winning artist Carlos Santana received Billboard Latin Music Awards 2009 Lifetime Achievement as well as Billboards Century Award in 1996. Having sold over 100 million records to date Santana has been inducted into the Rock and Roll Hall of Fame and is listed in the top 20 greatest guitarists of all time by Rolling Stone Magazine. In 2013, Carlos was the recipient of the 2013 Kennedy Center Honors Award. Currently, Santana is headlining a multi-year residency at House of Blues at Mandalay Bay Resort in Las Vegas.
Venue: Cape Town Stadium, Fritz Sonnenberg Rd, Green Point
Time: 7.45pm
Cost: R405 to R1060



Website: www.santana.com
Facebook: Carlos Santana
Twitter: @SantanaCarlos
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
15,Cost: R200,14 to 14 April 2018,Time: 7pm to 8pm,La Motte Concert Series: James Grace Journey to Spain,"La Motte Wine Estate, R45 Main Rd, Franschoek","La Motte presents award-winning guitarist James Grace’s Journey to Spain. Popular Spanish works are performed by the artist who has recently released his sixth studio album. Grace has appeared with the Cape and Kwa-Zulu Natal Philharmonic Orchestras and received the KANNA award for best male artist among other accolades. The performance is held in the historic cellar on the estate as part of a series of local and international music concerts.
Concert-goers are invited to make reservations at Pierneef à La Motte after the concert.

Email: concerts@la-motte.co.za | Dinner Reservations pierneef@la-motte.co.za
Website: www.la-motte.com
Facebook: La Motte
Twitter: @LaMotteWine
 SEE WHAT ELSE IS ON IN THE CAPE WINELANDS & BEYOND


 "
16,R405 – R1370,18 to 18 April 2018,Time: 7pm,WWE LIVE Superstars,"Venue: Grand Arena, GrandWest Casino & Entertainment World,  1 Jakes Gerwel Dr, Goodwood, Cape Town","
WWE LIVE returns to Cape Town for a showcase by the famed WWE Superstars. The family-friendly events feature WWE Superstars Braun Strowman, Seth Rollins, Dean Ambrose, Intercontinental Champion Roman Reigns, RAW Women`s Champion Alexa Bliss, Sasha Banks, Asuka, RAW Tag Team Champions Cesaro and Sheamus and more.

Website: www.wwe.com
Facebook: WWE
Twitter: @WWE
SEE WHAT ELSE IS ON IN CAPE TOWN NORTH
 "
17,R110,27 April 2018 to 1 May 2018,10am to 6pm,Decorex 2018: Rhythm of Life,"CTICC, Convention Square, 1 Lower Long Street, Cape Town","
Decorex presents an annual decor expo featuring interactive displays and samples from top home and DIY brands. The Rhythm of Life is the theme for Decorex 2018 and visitors can expect the show`s most popular features, including the interactive Builders DIY Theatre, the @home Trend Haus presented by Decorex and Decorex Designer Spotlight.
Also on the programme is a talk by Kansai Plascon on colour therapy in decor, The Tasting Room Wine Bar and the Kitchen Trend Project.
Whether you prefer ultra-modern or a more vintage approach to décor, you would still be spoiled for choice. Read Freda Scheffler’s review of a previous Decorex in Cape Town.
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
18,R95,30 April 2018 to 1 May 2018,2pm to 3pm,Suidoosterfees: Ikhaya Lam,"Artscape Arena, Artscape Theatre Centre, 1-10 D.F. Malan St, Foreshore, Cape Town","Suidoosterfees presents Ikhaya Lam, a theatrical drama that tells the story of a Xhosa boy who is adopted by a white conservative family after his mother, who works for the Witte family, passes away.
Here, he experiences difficulties as the family puts pressure on him to adopt their traditions. On his 18th birthday, he reveals to the Witte family that he is gay. They do not accept the news and he is chased out of the house by the grandfather. The sister decides to leave home with him.
Together the boy and the sister embark on a journey, hoping to discover themselves without the pressure of misconceptions of their cultures. The play is a heightened anthology of physical and episodic performances, tying into the themes of cultural consciousness, male sexuality and friendship.
The production carries an age restriction of 14 years and older.

Tel: 021 408 3568
Email: suidooster@media24.com
Website: www.suidoosterfees.co.za
Facebook: Suidoosterfees
Twitter: Suidoosterfees
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
19,R100 – R150,30 to 30 April 2018,7pm to 8.30pm,Suidoosterfees: Classic Nataniël,"Artscape Opera House, DF Malan St, Foreshore, Cape Town","Nataniel joins the Suidoosterfees for the first time with his production, Classic Nataniel. Backed by eight superb musicians – one jazz quartet and one string quartet – he performs a huge variety of music. Bach, Ramirez, Faure are among the composers he takes on. Interspersed with storytelling, he includes hymns, jazz pieces, a selection of brand new original compositions and more.

Tel: 021 408 3568
Email: suidooster@media24.com
Website: www.suidoosterfees.co.za
Facebook: Suidoosterfees
Twitter: @Suidoosterfees
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
20,R100 – R150,30 to 30 April 2018,7pm to 8.30pm,Suidoosterfees: Nataniel,"Artscape Opera House, DF Malan St, Foreshore, Cape Town","Nataniel joins the Suidoosterfees for the first time with his production, Classic Nataniel. Backed by eight musicians – one jazz quartet and one string quartet – he performs a huge variety of music. Bach, Ramirez, Faure are among the composers he takes on. Interspersed with storytelling, he includes hymns, jazz pieces, a selection of brand new original compositions and more.

Tel: 021 408 3568
Website: www.suidoosterfees.co.za
Facebook: Suidoosterfees
Twitter: @Suidoosterfees
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
21,Cost: R120,30 to 30 April 2018,Time: 6pm,State Fracture – SOLD OUT,"Artscape Velvet Room, Artscape Theatre Centre, D.F. Malan St, Foreshore, Cape Town","Artscape hosts a performance of Pay Back The Curry’s satirical, multi-sketch sequel, State Fracture, as part of Suidoosterfees’ 2018 programme.
State Fracture stars Fleur du Cap Theatre Awards-nominee and Naledi Theatre Awards-nominee, Daniel Mpilo Richards. This production is written by Mike van Graan, directed by Rob van Vuuren and produced by Siv Ngesi.
Unfortunately, this event is sold out.
“With accurate commentary on everyday South African politics, the show is thought-provoking, totally absurd and ultimately, filled with humour.” Read Briony Chisholm’s review of State Fracture.

 
 
Tel: 021 421 7839
Website: www.artscape.co.za
Facebook: ArtscapeTheatre
Twitter: ArtscapeTheatre
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL
 "
22,,29 March 2018 to 9 April 2018,,Tales of Little Grey Rabbit,,"The Artscape presents the children’s theatre production, Tales of Little Gray Rabbit. 
A long time ago, in a little house on the edge of a wood, lived a Hare, a Squirrel and a Little Grey Rabbit. The Hare was a conceited fellow. The Squirrel was proud, but Little Grey Rabbit was kind and thoughtful and took good care of them both. One day a weasel moved into the forest and captured the squirrel and hare. Guests are asked to join them and help Little Grey Rabbit rescue her friends.
Venue: Artscape Theatre Foyer, Artscape Theatre Centre, 1-10 D.F. Malan St, Foreshore, Cape Town
Time: 10.30am
Cost: R90

 
 
Tel: 021 421 7839
Website: www.artscape.co.za
Facebook: ArtscapeTheatre
Twitter: @ArtscapeTheatre
 
SEE WHAT ELSE IS ON in and around CAPE TOWN CITY BOWL"
